	PLAYER	2021/22 	2022/23	2023/24	2024/25
425.	Lance Stephenson	$1,614,825	$0	$0	$0
426.	Deividas Sirvydis	$1,603,559	$0	$0	$0
426.	Daniel Oturu	$1,603,559	$0	$0	$0
428.	Kevin Pangos	$1,569,178	$0	$0	$0
429.	Bismack Biyombo	$1,518,213	$0	$0	$0
430.	Nick Richards	$1,517,981	$1,782,621	$0	$0
430.	Lamar Stevens	$1,517,981	$1,782,621	$1,930,681	$0
430.	KJ Martin	$1,517,981	$1,782,621	$1,930,681	$0
430.	Xavier Tillman	$1,517,981	$1,782,621	$1,930,681	$0
430.	Naji Marshall	$1,517,981	$1,782,621	$1,930,681	$0
430.	Isaiah Joe	$1,517,981	$1,782,621	$0	$0
430.	Paul Reed	$1,517,981	$1,782,621	$0	$0
430.	Tre Jones	$1,517,981	$1,782,621	$0	$0
430.	Vernon Carey	$1,517,981	$1,782,621	$1,930,681	$0
430.	Jae'Sean Tate	$1,517,981	$1,782,621	$0	$0
430.	Sam Merrill	$1,517,981	$0	$0	$0
430.	Jordan Nwora	$1,517,981	$0	$0	$0
430.	CJ Elleby	$1,517,981	$0	$0	$0
430.	Elijah Hughes	$1,517,981	$0	$0	$0
430.	Jahmi'us Ramsey	$1,517,981	$0	$0	$0
430.	Anthony Gill	$1,517,981	$0	$0	$0
446.	Isaiah Todd	$1,500,000	$1,563,518	$1,836,096	$1,988,598
447.	Saben Lee	$1,489,065	$1,752,638	$1,902,137	$0
447.	Omer Yurtseven	$1,489,065	$1,752,638	$0	$0
449.	JR Smith	$1,456,667	$0	$0	$0
450.	Stanley Johnson	$1,368,998	$2,351,521	$0	$0
451.	Duane Washington Jr	$1,346,676	$1,563,518	$1,836,096	$0
452.	Aaron Wiggins	$1,305,761	$1,563,518	$1,836,096	$1,988,598
453.	Marquese Chriss	$1,292,900	$2,193,920	$0	$0
454.	JT Thor	$1,250,000	$1,563,518	$1,836,096	$1,988,598
455.	DeMarre Carroll	$1,242,340	$0	$0	$0
456.	Jabari Parker	$1,168,286	$0	$0	$0
457.	Alfonzo McKinnie	$1,090,007	$0	$0	$0
458.	Zhaire Smith	$1,068,200	$1,068,200	$0	$0
459.	Jason Preston	$1,062,303	$1,563,518	$1,836,096	$0
460.	Isaiah Livers	$1,057,260	$1,563,518	$1,836,096	$0
461.	Guerschon Yabusele	$1,039,080	$0	$0	$0
462.	Denzel Valentine	$1,005,633	$0	$0	$0
463.	Alize Johnson	$1,003,740	$0	$0	$0
