,Name,coeff,Salary
156,DeAndre Jordan,0.17978732123738325,64036016.0
157,Phil Pressey,0.17851772438141145,2724768.0
158,Troy Murphy,0.17582645718330608,3819622.0
159,Jason Collins,0.17444226743925728,4258287.0
160,Garrett Temple,0.17250927619011464,4011678.0
161,Nikola Jokic,0.17058608648392032,7800000.0
162,Henry Walker,0.16875175445188478,4705737.6
163,Ray Allen,0.16647978613553302,39687150.0
164,Donte Greene,0.16534654426517015,8581056.0
165,Kostas Papanikolaou,0.1634027359809686,16793955.0
166,Jamaal Tinsley,0.15899357835211142,8113086.0
167,David Lee,0.15871624521775957,66129671.0
168,Nate Wolters,0.1580053614668267,3949446.0
169,Carlos Arroyo,0.15735639676128801,1176042.0
170,Boris Diaw,0.1567834404775084,33443658.0
171,Boban Marjanovic,0.15488950901098705,7200000.0
172,Chuck Hayes,0.15389574625083058,25573526.0
173,Toney Douglas,0.15015881103345627,7157054.0
174,Jeff Withey,0.14869279996505463,4507876.0
175,Emmanuel Mudiay,0.1472726110051527,18613440.0
176,Tyson Chandler,0.14600770093225923,81259451.0
177,Jeff Foster,0.1433907129013442,25310000.0
178,Quincy Miller,0.142928236203069,3640309.5
179,Ryan Hollins,0.14259098669328302,5504815.0
180,Robbie Hummel,0.1420005076171735,4110540.0
181,Jabari Parker,0.1409725674267308,30249000.0
182,Arron Afflalo,0.14089155272043394,40459577.0
183,Marvin Williams,0.13962029605397444,44550000.0
184,Clint Capela,0.13644814068454775,7295760.0
185,Anthony Randolph,0.1356954467896835,12152341.2
186,Cleanthony Early,0.13560151307871124,4057185.0
187,Donatas Motiejunas,0.13048863599473234,9834367.5
188,Omer Asik,0.12723240449202528,37915921.0
189,Peja Stojakovic,0.12656881010858084,2412390.0
190,Anthony Tolliver,0.12396403694422138,11988682.0
191,Landry Fields,0.12293557769089437,23982958.8
192,Chris Babb,0.12280313536379492,3683220.0
193,Kevin Jones,0.12224215677604652,2340162.0
194,Patrick Patterson,0.12095699095910123,21085303.0
195,Hamed Haddadi,0.11948337903370865,8400000.0
196,DeQuan Jones,0.11885906800077717,2841624.0
197,Derrick Rose,0.11823489802509206,86761184.0
198,Ish Smith,0.11742684754924469,4667161.0
199,Chris Quinn,0.11566152223570413,3555204.0
200,Miles Plumlee,0.11379223948723155,8210961.0
201,Jarnell Stokes,0.11328762624518093,4710177.0
202,Rasual Butler,0.11316154077229247,4666674.0
203,Darrell Arthur,0.11228536967627867,15659848.0
204,Jimmer Fredette,0.11085005990152214,8048926.8
205,Tyler Ennis,0.10926481649527837,9759240.0
206,Melvin Ely,0.1074294732679454,4691716.8
207,Sean Williams,0.10721216073167908,5037258.0
208,Arnett Moultrie,0.10487352275283338,6535440.0
209,Pablo Prigioni,0.10216750461790798,7013461.5
210,Rodney Stuckey,0.10035897061093202,36182369.0
211,Raul Neto,0.09564155320975885,5400000.0
212,Kobe Bryant,0.09500054261109923,159458353.0
213,Kentavious Caldwell-Pope,0.09399612307486013,16634640.0
214,Eric Moreland,0.09394092739599673,4057185.0
215,Jordan Adams,0.09376953712751161,8246160.0
216,Lou Williams,0.09255826125236216,32851000.0
217,Montrezl Harrell,0.09129446346363178,6000000.0
218,Kosta Koufos,0.09033855108596776,20202432.0
219,Avery Bradley,0.08930193643488991,22006220.0
220,Vitor Faverani,0.08719118195365058,12270000.0
221,Pat Connaughton,0.08689230401765512,3750558.0
222,James Young,0.08663766240487981,10272960.0
223,Alexis Ajinca,0.08660478512469494,10410091.0
224,Vladimir Radmanovic,0.08607585039871089,17185156.0
225,Dwight Buycks,0.08584342476307062,4549446.0
226,Rashad Vaughn,0.08461367522010628,10398240.0
227,Joel Anthony,0.08353399783252587,20900000.0
228,Jason Williams,0.08103816783864068,3149784.0
229,Damien Inglis,0.07996104419639381,5025000.0
230,Brandon Roy,0.07642579001460052,67471788.0
231,Rudy Gobert,0.07601785279727136,6764160.0
232,Kendrick Perkins,0.07573074974428826,32247069.0
233,Marquis Teague,0.0753712176949832,6540720.0
234,Darnell Jackson,0.07507329037434654,5126334.0
235,Jeremy Lin,0.07455946024431108,28498737.0
236,Brad Miller,0.0737015728883438,28512000.0
237,Luke Walton,0.07322849315974524,34645452.0
238,Quentin Richardson,0.07291944347473273,14677200.0
239,Brook Lopez,0.07285203086603077,69261021.0
240,Langston Galloway,0.07125785999004652,3242463.0
241,Sundiata Gaines,0.07056860180396872,3641732.0
242,Chris Duhon,0.0704277361135,20500000.0
243,Nicolas Batum,0.06940693171780105,50388181.0
244,Tony Mitchell,0.06904428117773281,3949446.0
245,Lester Hudson,0.06824644158084152,2441232.0
246,Ben McLemore,0.06347643885110783,18157680.0
247,Brian Scalabrine,0.06339167789309699,5126334.0
248,Erick Dampier,0.06326103612694049,3732639.0
249,Earl Barron,0.06250935131554172,3114811.5
250,Shaquille O'Neal,0.06122403407343813,8113086.0
251,Willie Warren,0.06067499111734242,4155488.0
252,Gary Harris,0.0591450111079358,9311040.0
253,Alan Williams,0.058445377327549036,500382.0
254,Tyshawn Taylor,0.05816673413967899,2841624.0
255,Julyan Stone,0.057567244385307095,4240184.0
256,Darrun Hilliard,0.05658544519618337,3600000.0
257,Bernard James,0.05646240452798501,2998724.0
258,Hedo Turkoglu,0.05623975647664172,41544360.0
259,Salah Mejri,0.05554659154593819,3150558.0
260,Mike Harris,0.05512824916473422,5126334.0
261,Bobby Simmons,0.05390472322779713,2645850.0
262,Toure' Murry,0.053315648278065994,1758708.0
263,Dion Waiters,0.052606266889123,25231905.0
264,Marcus Morris Sr.,0.052010143869819954,16489369.2
265,Andre Roberson,0.050448544267257416,6334620.0
266,Ike Diogu,0.048805111859553524,4305342.0
267,Michael Kidd-Gilchrist,0.048744445012952664,31452066.0
268,David Andersen,0.04697297947771984,15740740.0
269,Theo Ratliff,0.045670881444137924,5126334.0
270,Kyle O'Quinn,0.04483400766181476,9364480.5
271,Joey Dorsey,0.04474460853830773,5432101.2
272,Cory Joseph,0.04422095512572479,14752345.2
273,Orlando Johnson,0.04319624064638964,1817166.0
274,Robin Lopez,0.04255278667116811,34308205.0
275,Othyus Jeffers,0.04253725387107238,239431.5
276,Devin Ebanks,0.042323785809782376,3707397.0
277,Wilson Chandler,0.042275964363614506,37129075.0
278,Ricky Ledo,0.041343958792353946,3078608.0
279,Jerome Jordan,0.04105100456198601,4104562.0
280,Norman Powell,0.04074934465423276,3900000.0
281,Marquis Daniels,0.03989148589681497,8193556.0
282,Jarell Martin,0.03949346726022755,7385040.0
283,Omri Casspi,0.03908796822724546,9573082.0
284,Sasha Kaun,0.03900154616023483,7656000.0
285,Josh Harrellson,0.03896283608632851,3551290.5
286,Kyrylo Fesenko,0.0387432428196696,4938198.0
287,Kim English,0.0373304669842309,2841624.0
288,Tornike Shengelia,0.037002744342757986,2841624.0
289,Cristiano Felicio,0.035629557986488904,3150558.0
290,Josh Selby,0.03481254253367823,3936585.0
291,Seth Curry,0.034560543148298255,2985912.0
292,T.J. Ford,0.03419785679250645,20417556.0
293,Rondae Hollis-Jefferson,0.0334533049771858,8012880.0
294,Jonas Valanciunas,0.03290737401081305,22859883.0
295,Charlie Villanueva,0.032831189279045624,33062519.0
296,Leandro Barbosa,0.032735515048739276,19380568.0
297,Anthony Bennett,0.0323980067996208,23670952.0
298,Jonathon Simmons,0.032395315742631374,3150558.0
299,Darius Songaila,0.031827111443116694,28908000.0
300,Jamaal Franklin,0.03143780400582082,4597516.0
301,Kyle Anderson,0.03109966232939642,6709680.0
302,Reggie Bullock,0.030881895595559608,7126740.0
303,Aaron Gordon,0.03032922270271183,24491160.0
304,Morris Almond,0.030082807206171073,454758.0
305,Tarik Black,0.02923033998830821,4057185.0
306,Solomon Alabi,0.028143093860849584,4660000.0
307,Andre Drummond,0.025299144327576056,15993256.5
308,Carlos Delfino,0.02464823009525092,19800000.0
309,Andrew Bynum,0.023886080930318195,69733500.0
310,John Lucas III,0.02347190053378282,5362482.0
311,Jared Sullinger,0.02304695918636943,9999630.0
312,Dexter Pittman,0.02066028232816311,4180376.0
